id,kind,source,label,path,ai_score,predicted,correct,target_class,crops,top_box_normalized,mean_effect_top,mean_effect_random_median,mean_top_percentile,blur_effect_top,blur_effect_random_median,blur_top_percentile,jpeg_q70_spearman,jpeg_q70_top_iou,randomization_spearman
13208a88ed65,genimage,stable_diffusion_v_1_5,0,data/raw/genimage_subset/29ac49adaf74a94e91ca66d78f82febdaf7d1260f38122aa29042863aabe9c46.jpeg,0.5422972440719604,1,0,ai_generated,5,"[0.4782051282051282, 0.43243243243243246, 0.532051282051282, 0.5135135135135135]",0.06554898619651794,-0.027485430240631104,0.9375,0.0742669403553009,-0.00019851326942443848,0.9375,0.9576258266497416,0.8289269051321928,
014b7cfdf049,genimage,stable_diffusion_v_1_5,1,data/raw/genimage_subset/a32fd3f09131d35f17551e36fa0b1da481035b382caa134b2e1593f033aa79da.png,0.5953797101974487,1,1,ai_generated,5,"[0.29296875, 0.279296875, 0.375, 0.361328125]",0.04257935285568237,0.025508016347885132,0.6875,0.039322853088378906,0.00746840238571167,0.9375,0.8866089552962637,0.75,
0449c1968f7a,genimage,stable_diffusion_v_1_5,1,data/raw/genimage_subset/8872e26eacbff5bf1c2096981a56a9710b011a0e88e8df8eb7d6ef4c88e93de7.png,0.5012398958206177,1,1,ai_generated,5,"[0.251953125, 0.66796875, 0.333984375, 0.75]",0.01132899522781372,0.0032956749200820923,0.6875,0.006471753120422363,-0.007472783327102661,0.75,0.8638594321160582,0.24444444444444444,
04a9419627e5,genimage,stable_diffusion_v_1_5,1,data/raw/genimage_subset/6c2f0c16e361581a87e16abae5c3a2190e978579d0d565e0f2ffca65331827f8.png,0.6460800170898438,1,1,ai_generated,5,"[0.125, 0.77734375, 0.20703125, 0.859375]",0.05068159103393555,0.0012434124946594238,0.9375,0.05983811616897583,0.015784651041030884,1.0,0.9321600684905681,0.0,
0eb2036f4052,genimage,stable_diffusion_v_1_5,1,data/raw/genimage_subset/8d3ea06f30358fb1c05aaf4e3d9b9ab360553f207a0f27990687673b128f7ac3.png,0.10171787440776825,0,0,real,5,"[0.458984375, 0.39453125, 0.541015625, 0.4765625]",0.0015852376818656921,-0.0016699731349945068,0.625,0.010796941816806793,-0.0032092146575450897,0.875,0.9767090765728941,0.0,
0f7a802c4b2e,genimage,stable_diffusion_v_1_5,1,data/raw/genimage_subset/725dea499ee5e08082709e3ca1d92cf06b09b9e0c052b3a87b28808e79f4f0cd.png,0.1353074163198471,0,0,real,5,"[0.251953125, 0.212890625, 0.333984375, 0.294921875]",-0.012543551623821259,-0.0056632161140441895,0.25,-0.020338580012321472,-0.0016953721642494202,0.0625,0.9763172174236678,0.0,
00798bc2a523,external,imagenet,0,diffusion_datasets/imagenet/0_real/flcafzqbyt.JPEG,0.07192681729793549,0,1,real,5,"[0.648, 0.224, 0.76, 0.308]",0.015588708221912384,-0.0004941970109939575,1.0,0.004672355949878693,-0.0014020539820194244,1.0,0.9800071321366414,0.31789316398954054,
0088f643846c,external,imagenet,0,diffusion_datasets/imagenet/0_real/wgmfkffpbs.JPEG,0.13379885256290436,0,1,real,5,"[0.44329896907216493, 0.3233333333333333, 0.6597938144329897, 0.4633333333333333]",-0.008693039417266846,-0.02015921100974083,0.8125,-0.01586020737886429,-0.005304321646690369,0.25,0.9531808489780617,1.0,
01e52141dfc8,external,imagenet,0,diffusion_datasets/imagenet/0_real/ftobdflmuz.JPEG,0.015300950966775417,0,1,real,5,"[0.73, 0.232, 0.814, 0.344]",-0.004279779270291328,-0.0026399451307952404,0.0625,-0.0018676621839404106,-0.00015789875760674477,0.0625,0.9557502406536734,0.327313769751693,
033b552c377d,external,imagenet,0,diffusion_datasets/imagenet/0_real/gaezkwugoh.JPEG,0.038050808012485504,0,1,real,5,"[0.746, 0.24944320712694878, 0.83, 0.3429844097995546]",0.0013987571001052856,-0.0017857570201158524,0.8125,0.005641371011734009,-0.0009470023214817047,0.875,0.8260333750954099,0.0,
0394bab4773f,external,imagenet,0,diffusion_datasets/imagenet/0_real/danyxpbnqf.JPEG,0.29170623421669006,0,1,real,5,"[0.22545454545454546, 0.2469733656174334, 0.3018181818181818, 0.3486682808716707]",-0.02789059281349182,-0.010948017239570618,0.4375,-0.0181216299533844,-0.0005755871534347534,0.1875,0.9836219969755854,0.48484848484848486,
00b2cf222d06,external,guided,1,diffusion_datasets/guided/1_fake/owbarkgfyc.png,0.2914639115333557,0,0,real,5,"[0.77734375, 0.52734375, 0.94140625, 0.69140625]",0.010614454746246338,-0.038022398948669434,1.0,0.026126861572265625,-0.0029184669256210327,1.0,0.9310927714832201,0.9534883720930233,
010182a66794,external,guided,1,diffusion_datasets/guided/1_fake/shkxdbeqpn.png,0.06150148808956146,0,0,real,5,"[0.75, 0.2578125, 0.9140625, 0.421875]",0.006133705377578735,-0.008815070614218712,0.9375,0.005276031792163849,-0.0028832238167524338,1.0,0.8460830092752111,0.68,
0119277c9ebe,external,guided,1,diffusion_datasets/guided/1_fake/xmyblzhwwh.png,0.5058664083480835,1,1,ai_generated,5,"[0.41796875, 0.49609375, 0.58203125, 0.66015625]",0.09666290879249573,0.07661484181880951,0.625,0.05824825167655945,-0.0027596652507781982,1.0,-0.6201994555084872,0.0,
0367a45f58b1,external,guided,1,diffusion_datasets/guided/1_fake/picuojlsec.png,0.6477383971214294,1,1,ai_generated,5,"[0.75, 0.26171875, 0.9140625, 0.42578125]",0.05246233940124512,0.03197470307350159,0.6875,0.01467210054397583,-0.013730943202972412,0.875,0.9533819097050642,0.9090909090909091,
0c36d5055037,external,guided,1,diffusion_datasets/guided/1_fake/ayzndlluru.png,0.6359694600105286,1,1,ai_generated,5,"[0.17578125, 0.75, 0.33984375, 0.9140625]",0.022900104522705078,0.06636372208595276,0.125,-0.015241384506225586,0.007753103971481323,0.125,0.9682724049921403,0.8666666666666667,
0071854e4cd8,external,laion,0,diffusion_datasets/laion/0_real/xnyhohvpna.jpg,0.04536271095275879,0,1,real,5,"[0.75, 0.3359375, 0.9140625, 0.5]",-0.0003252290189266205,-0.0026920195668935776,0.9375,-0.0019339509308338165,-0.0020520854741334915,0.5,0.9520565856412543,1.0,
0112467a1c90,external,laion,0,diffusion_datasets/laion/0_real/wdxoxbbogy.jpg,0.5809582471847534,1,0,ai_generated,5,"[0.3359375, 0.67578125, 0.5, 0.83984375]",-0.017899155616760254,0.046499669551849365,0.0,-0.035946667194366455,0.020283132791519165,0.0,0.9864728240452055,0.7872340425531915,
036372a684bb,external,laion,0,diffusion_datasets/laion/0_real/ljluvxkeau.jpg,0.004565953742712736,0,1,real,5,"[0.6953125, 0.76171875, 0.859375, 0.92578125]",1.6326550394296646e-05,0.00011148652993142605,0.375,-1.570349559187889e-05,0.00013246387243270874,0.375,0.9877045546411687,0.8289269051321928,
03fa10f1005e,external,laion,0,diffusion_datasets/laion/0_real/tnxiofobrb.jpg,0.5869413614273071,1,0,ai_generated,5,"[0.3359375, 0.3359375, 0.5, 0.5]",-0.032901644706726074,0.01957640051841736,0.0,-0.00010120868682861328,0.0006695985794067383,0.4375,0.8282609519358645,0.6470588235294118,
04131ca77e07,external,laion,0,diffusion_datasets/laion/0_real/xlwfiidgib.jpg,0.14633700251579285,0,1,real,5,"[0.52734375, 0.55078125, 0.69140625, 0.71484375]",-0.015749841928482056,-0.014995098114013672,0.4375,0.008196905255317688,0.006034843623638153,0.5,0.9758644876578076,0.8289269051321928,
00d171343ac7,external,ldm_200,1,diffusion_datasets/ldm_200/1_fake/newahshtuc.png,0.15893451869487762,0,0,real,5,"[0.76953125, 0.17578125, 0.93359375, 0.33984375]",-0.004587814211845398,-0.010795138776302338,0.8125,-0.0027576982975006104,-0.015767738223075867,0.875,0.9272420364264105,0.7926829268292683,
00e3a62ee6b5,external,ldm_200,1,diffusion_datasets/ldm_200/1_fake/yyfgzdkznw.png,0.6682291030883789,1,1,ai_generated,5,"[0.62890625, 0.75, 0.79296875, 0.9140625]",0.058020174503326416,0.01865038275718689,0.875,0.08185350894927979,0.029802680015563965,0.875,0.9790288484170836,0.9534883720930233,
016ba4749401,external,ldm_200,1,diffusion_datasets/ldm_200/1_fake/cubsnkbrrm.png,0.6383929252624512,1,1,ai_generated,5,"[0.0546875, 0.25, 0.21875, 0.4140625]",0.09335005283355713,0.09644478559494019,0.5,0.02997678518295288,0.023168206214904785,0.625,0.5934967249264461,0.5778175313059034,
017c68e464ad,external,ldm_200,1,diffusion_datasets/ldm_200/1_fake/hrdlxdegxy.png,0.5698366761207581,1,1,ai_generated,5,"[0.8046875, 0.62109375, 0.96875, 0.78515625]",0.05650812387466431,-0.010579109191894531,0.8125,0.05304563045501709,-0.004479438066482544,0.75,0.9547830162116937,0.8289269051321928,
027f5f021a97,external,ldm_200,1,diffusion_datasets/ldm_200/1_fake/fwqtzyeait.png,0.1175803691148758,0,0,real,5,"[0.74609375, 0.7734375, 0.91015625, 0.9375]",-0.015182256698608398,-0.02296973019838333,0.75,-0.004130162298679352,-0.0012619532644748688,0.4375,0.8424146437495599,0.7908629441624365,
